workflow_id,specialty_id,chip_id,group,chip_text,order,search_terms,tags
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-s1,symptoms,anxiety symptoms,1,"anxiety, anxious","psych"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-s2,symptoms,excessive worry,2,"excessive worry, persistent worry","psych"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-s3,symptoms,restlessness,3,"restlessness, on edge","psych"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-s4,symptoms,irritability,4,"irritability, easily annoyed","psych"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-s5,symptoms,muscle tension,5,"muscle tension, tight muscles","psych"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-s6,symptoms,poor concentration,6,"poor concentration, difficulty focusing","psych"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-s7,symptoms,sleep disturbance,7,"sleep disturbance, insomnia","psych"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-s8,symptoms,palpitations,8,"palpitations, racing heart","psych"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-s9,symptoms,shortness of breath sensation,9,"shortness of breath sensation, smothering","psych"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-s10,symptoms,avoidance behavior,10,"avoidance behavior, avoiding situations","psych"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-s11,symptoms,functional impairment documented,11,"functional impairment, impact on daily life","psych"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-s12,symptoms,duration documented,12,"duration, how long","general"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-n13,relevant_negatives,no suicidal ideation reported if assessed,13,"no suicidal ideation, not suicidal","psych,risk"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-n14,relevant_negatives,no self-harm thoughts reported if assessed,14,"no self-harm, not self-harming","psych,risk"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-n15,relevant_negatives,no thoughts of harm to others reported if assessed,15,"no harm to others, no homicidal","psych,risk"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-n16,relevant_negatives,no psychotic symptoms reported if assessed,16,"no psychosis, no hallucinations, no delusions","psych"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-n17,relevant_negatives,no substance misuse reported if assessed,17,"no substance misuse, no drugs, no alcohol","psych,substance"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-n18,relevant_negatives,no chest pain reported if relevant,18,"no chest pain","psych,cardiovascular"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-n19,relevant_negatives,no syncope reported if relevant,19,"no syncope, no fainting","psych"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-e20,exam_findings,appearance documented if assessed,20,"appearance, grooming, dress","psych,MSE"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-e21,exam_findings,behavior documented if assessed,21,"behavior, agitation, eye contact","psych,MSE"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-e22,exam_findings,speech documented if assessed,22,"speech rate, volume, tone","psych,MSE"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-e23,exam_findings,mood documented if assessed,23,"mood, subjective","psych,MSE"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-e24,exam_findings,affect documented if assessed,24,"affect, range, reactivity","psych,MSE"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-e25,exam_findings,thought content documented if assessed,25,"thought content, rumination, worry themes","psych,MSE"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-e26,exam_findings,insight documented if assessed,26,"insight, awareness","psych,MSE"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-e27,exam_findings,judgment documented if assessed,27,"judgment, decision making","psych,MSE"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-e28,exam_findings,risk assessment documented if assessed,28,"risk assessment, safety","psych,MSE,risk"
psych-anxiety,Psychiatry / Mental Health,psych-anxiety-r29,red_flags,suicidal ideation,29,"suicidal ideation","psych,risk,high_safety"
