workflow_id,specialty_id,chip_id,group,chip_text,order,search_terms,tags
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-symptoms-1,symptoms,diabetes follow-up,1,"diabetes, followup, DM",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-symptoms-2,symptoms,home glucose readings reviewed,2,"home, glucose, SMBG, readings",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-symptoms-3,symptoms,HbA1c trend reviewed,3,"HbA1c, A1c, trend",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-symptoms-4,symptoms,medication adherence discussed,4,"medication, adherence, compliance",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-symptoms-5,symptoms,lifestyle context reviewed,5,"lifestyle, diet, exercise",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-symptoms-6,symptoms,hypoglycemia symptoms reviewed,6,"hypoglycemia, hypo, low",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-symptoms-7,symptoms,foot symptoms reviewed,7,"foot, ulcer, wound",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-symptoms-8,symptoms,visual symptoms reviewed,8,"visual, vision, eyes",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-symptoms-9,symptoms,neuropathy symptoms reviewed,9,"neuropathy, numbness, tingling",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-relevant_negatives-1,relevant_negatives,no hypoglycemia symptoms reported,1,"hypoglycemia, hypo",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-relevant_negatives-2,relevant_negatives,no foot ulcers reported,2,"foot, ulcer, wound",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-relevant_negatives-3,relevant_negatives,no acute infection symptoms reported,3,"infection, fever, UTI",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-relevant_negatives-4,relevant_negatives,no visual symptoms reported,4,"visual, vision, blurred",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-relevant_negatives-5,relevant_negatives,no chest pain reported if relevant,5,"chest, pain, cardiac",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-relevant_negatives-6,relevant_negatives,no shortness of breath reported if relevant,6,"SOB, breathlessness",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-exam_findings-1,exam_findings,weight and BMI documented if measured,1,"weight, BMI",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-exam_findings-2,exam_findings,blood pressure documented if measured,2,"BP, blood, pressure",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-exam_findings-3,exam_findings,foot examination documented if assessed,3,"foot, exam, monofilament",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-exam_findings-4,exam_findings,peripheral pulses documented if assessed,4,"pulses, DP, PT",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-exam_findings-5,exam_findings,sensation documented if assessed,5,"sensation, monofilament, neuropathy",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-exam_findings-6,exam_findings,injection sites documented if assessed,6,"injection, site, insulin",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-investigations-1,investigations,HbA1c reviewed if available,1,"HbA1c, A1c",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-investigations-2,investigations,renal function reviewed if ordered,2,"renal, kidney, eGFR, creatinine",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-investigations-3,investigations,urine ACR reviewed if ordered,3,"ACR, albumin, microalbumin",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-investigations-4,investigations,lipid profile reviewed if ordered,4,"lipid, cholesterol, LDL",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-investigations-5,investigations,eye screening report reviewed if available,5,"eye, screening, retinopathy",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-investigations-6,investigations,home glucose log reviewed if available,6,"glucose, log, diary, SMBG",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-plan_phrases-1,plan_phrases,clinician-entered plan documented,1,"plan, management",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-plan_phrases-2,plan_phrases,medication adherence documented if discussed,2,"adherence, medication",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-plan_phrases-3,plan_phrases,lifestyle advice documented if discussed,3,"lifestyle, diet, exercise",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-plan_phrases-4,plan_phrases,glucose monitoring documented if discussed,4,"glucose, monitoring, SMBG",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-plan_phrases-5,plan_phrases,medication plan documented if clinician decided,5,"medication, adjustment",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-plan_phrases-6,plan_phrases,referral documented if clinician arranged,6,"referral, diabetes, eye, podiatry",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-plan_phrases-7,plan_phrases,follow-up documented if arranged,7,"follow, up",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-follow_up-1,follow_up,3-6 months,1,"three, six, months",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-follow_up-2,follow_up,6-12 months if stable,2,"six, twelve",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-follow_up-3,follow_up,sooner if symptoms change,3,"sooner, change",endocrinology
endo-diabetes-followup,Endocrinology,endo-diabetes-followup-follow_up-4,follow_up,PRN,4,"PRN, as needed",endocrinology
