workflow_id,specialty_id,chip_id,group,chip_text,order,search_terms,tags
derm-rash,Dermatology,derm-rash-s1,symptoms,rash,1,"rash, skin eruption, skin rash",derm
derm-rash,Dermatology,derm-rash-s2,symptoms,itching,2,"itching, pruritus, itch",derm
derm-rash,Dermatology,derm-rash-s3,symptoms,pain,3,"pain, sore, tender",derm
derm-rash,Dermatology,derm-rash-s4,symptoms,burning sensation,4,"burning, stinging",derm
derm-rash,Dermatology,derm-rash-s5,symptoms,swelling,5,"swelling, edema",derm
derm-rash,Dermatology,derm-rash-s6,symptoms,fever,6,"fever, pyrexia, temperature",acute,derm
derm-rash,Dermatology,derm-rash-s7,symptoms,duration documented,7,"duration, how long, when started",general
derm-rash,Dermatology,derm-rash-s8,symptoms,distribution documented,8,"distribution, location, body areas",derm
derm-rash,Dermatology,derm-rash-s9,symptoms,new medication exposure,9,"new medication, drug reaction, new drug","derm,pharm"
derm-rash,Dermatology,derm-rash-s10,symptoms,contact or exposure history,10,"contact history, exposure, allergen, irritant",derm
derm-rash,Dermatology,derm-rash-s11,symptoms,previous treatments tried,11,"previous treatment, creams, antihistamines",derm
derm-rash,Dermatology,derm-rash-n12,relevant_negatives,no fever reported,12,"no fever","acute,derm"
derm-rash,Dermatology,derm-rash-n13,relevant_negatives,no mucosal involvement reported,13,"no mucosal involvement, no oral lesions","derm,high_safety"
derm-rash,Dermatology,derm-rash-n14,relevant_negatives,no breathing difficulty reported,14,"no breathing difficulty","respiratory,high_safety"
derm-rash,Dermatology,derm-rash-n15,relevant_negatives,no facial or lip swelling reported,15,"no facial swelling, no lip swelling","derm,high_safety"
derm-rash,Dermatology,derm-rash-n16,relevant_negatives,no new medication reported,16,"no new medication","derm,pharm"
derm-rash,Dermatology,derm-rash-n17,relevant_negatives,no sick contacts reported,17,"no sick contacts","infectious,derm"
derm-rash,Dermatology,derm-rash-n18,relevant_negatives,no pain reported,18,"no pain",general
derm-rash,Dermatology,derm-rash-e19,exam_findings,rash distribution documented if assessed,19,"rash distribution, body areas affected","derm,exam"
derm-rash,Dermatology,derm-rash-e20,exam_findings,morphology documented if assessed,20,"morphology, macules, papules, plaques","derm,exam"
derm-rash,Dermatology,derm-rash-e21,exam_findings,erythema documented if assessed,21,"erythema, redness","derm,exam"
derm-rash,Dermatology,derm-rash-e22,exam_findings,scaling documented if assessed,22,"scaling, desquamation, flaking","derm,exam"
derm-rash,Dermatology,derm-rash-e23,exam_findings,vesicles documented if assessed,23,"vesicles, blisters, bullae","derm,exam"
derm-rash,Dermatology,derm-rash-e24,exam_findings,pustules documented if assessed,24,"pustules, pus-filled lesions","derm,exam"
