workflow_id,specialty_id,chip_id,group,chip_text,order,search_terms,tags
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-symptoms-1,symptoms,dysuria,1,"dysuria, pain, burning, urination",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-symptoms-2,symptoms,urinary frequency reviewed,2,"frequency, often, void",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-symptoms-3,symptoms,urinary urgency reviewed,3,"urgency, sudden, urge",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-symptoms-4,symptoms,suprapubic discomfort reviewed,4,"suprapubic, pelvic, pain",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-symptoms-5,symptoms,fever reviewed,5,"fever, temperature",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-symptoms-6,symptoms,flank pain reviewed,6,"flank, loin, kidney, pain",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-symptoms-7,symptoms,hematuria reviewed,7,"hematuria, blood, urine",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-symptoms-8,symptoms,duration documented,8,"duration, how long",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-relevant_negatives-1,relevant_negatives,no fever reported,1,"fever, febrile",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-relevant_negatives-2,relevant_negatives,no flank pain reported,2,"flank, loin, pain",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-relevant_negatives-3,relevant_negatives,no vomiting reported,3,vomiting,urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-relevant_negatives-4,relevant_negatives,no visible hematuria reported,4,"visible, hematuria, blood",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-relevant_negatives-5,relevant_negatives,no urinary retention reported,5,"retention, unable, void",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-relevant_negatives-6,relevant_negatives,no pregnancy concern documented if applicable,6,"pregnancy, pregnant",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-exam_findings-1,exam_findings,vitals documented if measured,1,"vitals, BP, pulse, temp",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-exam_findings-2,exam_findings,abdominal examination documented if assessed,2,"abdominal, exam",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-exam_findings-3,exam_findings,suprapubic tenderness documented if assessed,3,"suprapubic, tenderness",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-exam_findings-4,exam_findings,flank or CVA tenderness documented if assessed,4,"flank, CVA, loin, kidney",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-exam_findings-5,exam_findings,hydration documented if assessed,5,"hydration, mucous, turgor",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-red_flags-1,red_flags,fever with flank pain,1,"fever, flank, pyelonephritis","urology_nephrology,high_safety"
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-red_flags-2,red_flags,vomiting,2,"vomiting, unable, oral","urology_nephrology,high_safety"
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-red_flags-3,red_flags,urinary retention,3,"retention, unable, void","urology_nephrology,high_safety"
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-red_flags-4,red_flags,visible hematuria,4,"visible, hematuria, blood","urology_nephrology,high_safety"
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-red_flags-5,red_flags,pregnancy context if relevant,5,"pregnancy, pregnant","urology_nephrology,high_safety"
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-red_flags-6,red_flags,immunosuppressed condition,6,"immunocompromised, diabetic, transplant","urology_nephrology,high_safety"
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-investigations-1,investigations,urinalysis reviewed if performed,1,"urinalysis, dipstick, urine",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-investigations-2,investigations,urine culture reviewed if available,2,"culture, MC+S, sensitivity",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-investigations-3,investigations,blood tests reviewed if ordered,3,"blood, FBC, CRP",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-investigations-4,investigations,renal function reviewed if ordered,4,"renal, kidney, eGFR, creatinine",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-plan_phrases-1,plan_phrases,clinician-entered plan documented,1,"plan, management",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-plan_phrases-2,plan_phrases,hydration advice documented if discussed,2,"hydration, fluids, water",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-plan_phrases-3,plan_phrases,medication plan documented if clinician decided,3,"medication, antibiotic",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-plan_phrases-4,plan_phrases,safety-netting documented if discussed,4,"safety, netting",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-plan_phrases-5,plan_phrases,follow-up documented if arranged,5,"follow, up",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-follow_up-1,follow_up,2-3 days if symptoms persist,1,"two, three, days",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-follow_up-2,follow_up,1-2 weeks,2,"one, two, weeks",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-follow_up-3,follow_up,sooner if worsening,3,"sooner, worsening",urology_nephrology
uro-dysuria-uti-symptoms,Urology / Nephrology,uro-dysuria-uti-symptoms-follow_up-4,follow_up,PRN,4,"PRN, as needed",urology_nephrology
uro-hematuria,Urology / Nephrology,uro-hematuria-symptoms-1,symptoms,hematuria,1,"hematuria, blood, urine",urology_nephrology
