workflow_id,specialty_id,chip_id,group,chip_text,order,search_terms,tags
peds-fever,Pediatrics,peds-fever-s1,symptoms,fever,1,"fever, pyrexia",acute
peds-fever,Pediatrics,peds-fever-s2,symptoms,chills and rigors,2,"chills, rigors, shivering",acute
peds-fever,Pediatrics,peds-fever-s3,symptoms,reduced activity,3,"reduced activity, less playful",general
peds-fever,Pediatrics,peds-fever-s4,symptoms,reduced feeding,4,"reduced feeding, not feeding well",feeding
peds-fever,Pediatrics,peds-fever-s5,symptoms,irritability,5,"irritability, fussy, crying",general
peds-fever,Pediatrics,peds-fever-s6,symptoms,cough,6,cough,respiratory
peds-fever,Pediatrics,peds-fever-s7,symptoms,runny nose,7,"runny nose, rhinorrhea",respiratory
peds-fever,Pediatrics,peds-fever-s8,symptoms,vomiting,8,vomiting,gi
peds-fever,Pediatrics,peds-fever-s9,symptoms,diarrhea,9,"diarrhea, loose stools",gi
peds-fever,Pediatrics,peds-fever-s10,symptoms,rash,10,"rash, skin rash",dermatology
peds-fever,Pediatrics,peds-fever-s11,symptoms,sleep disturbance,11,"sleep disturbance, restless",general
peds-fever,Pediatrics,peds-fever-n12,relevant_negatives,no breathing difficulty,12,"no SOB, no respiratory distress",respiratory
peds-fever,Pediatrics,peds-fever-n13,relevant_negatives,no seizure reported,13,"no seizure activity, no fit",neuro
peds-fever,Pediatrics,peds-fever-n14,relevant_negatives,no neck stiffness,14,no neck stiffness,neuro
peds-fever,Pediatrics,peds-fever-n15,relevant_negatives,no persistent vomiting,15,no persistent vomiting,gi
peds-fever,Pediatrics,peds-fever-n16,relevant_negatives,no non-blanching rash,16,"no petechiae, no purpura",dermatology
peds-fever,Pediatrics,peds-fever-n17,relevant_negatives,urine output maintained,17,"urine output adequate, wet diapers",renal
peds-fever,Pediatrics,peds-fever-n18,relevant_negatives,no reduced consciousness,18,"no drowsiness, alert",neuro
peds-fever,Pediatrics,peds-fever-n19,relevant_negatives,no poor feeding reported,19,feeding well per parent,feeding
peds-fever,Pediatrics,peds-fever-e20,exam_findings,child alert,20,"alert, responsive",general
peds-fever,Pediatrics,peds-fever-e21,exam_findings,child active and playful,21,"playful, active",general
peds-fever,Pediatrics,peds-fever-e22,exam_findings,febrile in clinic,22,"febrile, febrile on exam",vitals
peds-fever,Pediatrics,peds-fever-e23,exam_findings,afebrile in clinic,23,afebrile,vitals
peds-fever,Pediatrics,peds-fever-e24,exam_findings,hydration adequate,24,"good hydration, moist mm",general
peds-fever,Pediatrics,peds-fever-e25,exam_findings,no respiratory distress,25,no RD,respiratory
peds-fever,Pediatrics,peds-fever-e26,exam_findings,capillary refill documented,26,"capillary refill, CRT assessed if assessed",vitals
peds-fever,Pediatrics,peds-fever-e27,exam_findings,throat examined,27,"throat examined, pharynx assessed if assessed",ent
peds-fever,Pediatrics,peds-fever-e28,exam_findings,chest clear if assessed,28,"chest clear, lungs clear if assessed",respiratory
peds-fever,Pediatrics,peds-fever-e29,exam_findings,decreased skin turgor,29,"dry, dehydration",general
peds-fever,Pediatrics,peds-fever-r30,red_flags,age under 3 months with fever,30,"neonatal fever, infant fever","high_safety,neonatal"
peds-fever,Pediatrics,peds-fever-r31,red_flags,lethargy,31,"lethargic, difficult to rouse","neuro,high_safety"
peds-fever,Pediatrics,peds-fever-r32,red_flags,poor feeding,32,"poor feeding, not feeding","feeding,high_safety"
peds-fever,Pediatrics,peds-fever-r33,red_flags,respiratory distress,33,"respiratory distress, tachypnea","respiratory,high_safety"
peds-fever,Pediatrics,peds-fever-r34,red_flags,seizure,34,"seizure, convulsion","neuro,high_safety"
peds-fever,Pediatrics,peds-fever-r35,red_flags,non-blanching rash,35,"petechiae, purpura","dermatology,high_safety"
peds-fever,Pediatrics,peds-fever-r36,red_flags,neck stiffness,36,"neck stiffness, meningism","neuro,high_safety"
peds-fever,Pediatrics,peds-fever-r37,red_flags,reduced urine output,37,decreased wet diapers,"renal,high_safety"
peds-fever,Pediatrics,peds-fever-r38,red_flags,dehydration signs,38,"dehydration, dry mm","general,high_safety"
peds-fever,Pediatrics,peds-fever-p39,plan_phrases,supportive care discussed,39,supportive care,plan
peds-fever,Pediatrics,peds-fever-p40,plan_phrases,antipyretic use as per clinician plan,40,"antipyretic, fever management",plan
peds-fever,Pediatrics,peds-fever-p41,plan_phrases,hydration advice discussed,41,"hydration, fluids",plan
peds-fever,Pediatrics,peds-fever-p42,plan_phrases,return precautions discussed,42,"return precautions, warning signs",plan
peds-fever,Pediatrics,peds-fever-p43,plan_phrases,parent/guardian advice discussed,43,"parent advice, caregiver guidance",plan
peds-fever,Pediatrics,peds-fever-p44,plan_phrases,sick note issued as per clinician plan,44,sick note,plan
peds-fever,Pediatrics,peds-fever-f45,follow_up,1-2 days if not improving,45,1-2 days,followup
peds-fever,Pediatrics,peds-fever-f46,follow_up,sooner if worsening,46,"sooner, PRN",followup
peds-cough,Pediatrics,peds-cough-s1,symptoms,cough,1,cough,respiratory
peds-cough,Pediatrics,peds-cough-s2,symptoms,runny nose,2,"runny nose, rhinorrhea",respiratory
peds-cough,Pediatrics,peds-cough-s3,symptoms,nasal congestion,3,"nasal congestion, blocked nose",respiratory
peds-cough,Pediatrics,peds-cough-s4,symptoms,fever,4,fever,acute
peds-cough,Pediatrics,peds-cough-s5,symptoms,sore throat,5,"sore throat, throat pain",ent
peds-cough,Pediatrics,peds-cough-s6,symptoms,wheeze,6,"wheeze, noisy breathing",respiratory
peds-cough,Pediatrics,peds-cough-s7,symptoms,reduced feeding,7,reduced feeding,feeding
peds-cough,Pediatrics,peds-cough-s8,symptoms,sleep disturbance,8,"sleep disturbance, waking at night",general
peds-cough,Pediatrics,peds-cough-s9,symptoms,cough duration,9,how long cough,respiratory
peds-cough,Pediatrics,peds-cough-s10,symptoms,dry vs productive cough,10,"dry cough, productive cough",respiratory
peds-cough,Pediatrics,peds-cough-n11,relevant_negatives,no respiratory distress,11,no RD,respiratory
peds-cough,Pediatrics,peds-cough-n12,relevant_negatives,no cyanosis,12,"no cyanosis, no blue lips",respiratory
peds-cough,Pediatrics,peds-cough-n13,relevant_negatives,no poor feeding reported,13,feeding maintained per parent,feeding
peds-cough,Pediatrics,peds-cough-n14,relevant_negatives,no fever,14,no fever,acute
peds-cough,Pediatrics,peds-cough-n15,relevant_negatives,no wheeze,15,no wheeze,respiratory
peds-cough,Pediatrics,peds-cough-n16,relevant_negatives,no ear pain,16,no ear pain,ent
peds-cough,Pediatrics,peds-cough-n17,relevant_negatives,no choking episode,17,no choking,respiratory
peds-cough,Pediatrics,peds-cough-e18,exam_findings,chest clear if assessed,18,chest clear,respiratory
peds-cough,Pediatrics,peds-cough-e19,exam_findings,wheeze heard if assessed,19,"wheeze, expiratory",respiratory
peds-cough,Pediatrics,peds-cough-e20,exam_findings,no chest recession,20,"no chest recession, no subcostal",respiratory
peds-cough,Pediatrics,peds-cough-e21,exam_findings,no nasal flaring,21,no nasal flaring,respiratory
peds-cough,Pediatrics,peds-cough-e22,exam_findings,afebrile,22,afebrile,vitals
peds-cough,Pediatrics,peds-cough-e23,exam_findings,febrile,23,febrile,vitals
peds-cough,Pediatrics,peds-cough-e24,exam_findings,child alert,24,alert,general
peds-cough,Pediatrics,peds-cough-e25,exam_findings,throat examined if assessed,25,throat clear,ent
peds-cough,Pediatrics,peds-cough-r26,red_flags,respiratory distress,26,"respiratory distress, tachypnea","respiratory,high_safety"
peds-cough,Pediatrics,peds-cough-r27,red_flags,persistent fever,27,persistent fever >3 days,"acute,high_safety"
peds-cough,Pediatrics,peds-cough-r28,red_flags,poor feeding,28,poor feeding due to cough,"feeding,high_safety"
peds-cough,Pediatrics,peds-cough-r29,red_flags,cyanosis,29,cyanosis,"respiratory,high_safety"
peds-cough,Pediatrics,peds-cough-r30,red_flags,lethargy,30,lethargic,"neuro,high_safety"
peds-cough,Pediatrics,peds-cough-r31,red_flags,age under 6 months with cough,31,young infant cough,"respiratory,high_safety"
peds-cough,Pediatrics,peds-cough-i32,investigations,O2 sats checked if assessed,32,"O2 saturations, SpO2",investigations
peds-cough,Pediatrics,peds-cough-i33,investigations,CXR ordered if indicated per clinician,33,chest x-ray,investigations
peds-cough,Pediatrics,peds-cough-p34,plan_phrases,supportive care discussed,34,supportive care,plan
peds-cough,Pediatrics,peds-cough-p35,plan_phrases,nasal saline drops discussed,35,"saline drops, nasal hygiene",plan
