workflow_id,specialty_id,chip_id,group,chip_text,order,search_terms,tags
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-s1,symptoms,routine antenatal follow-up,1,"routine antenatal follow-up, pregnancy check","obstetric,antenatal"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-s2,symptoms,gestational age documented,2,"gestational age, GA","obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-s3,symptoms,fetal movement discussed if relevant,3,"fetal movement, baby moving","obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-s4,symptoms,abdominal pain,4,"abdominal pain, tummy pain","obstetric,gi"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-s5,symptoms,vaginal bleeding,5,"vaginal bleeding, spotting","obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-s6,symptoms,vaginal discharge,6,"vaginal discharge, leukorrhea","obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-s7,symptoms,headache,7,"headache","neuro,obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-s8,symptoms,visual symptoms,8,"visual disturbance, blurred vision","neuro,obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-s9,symptoms,swelling,9,"edema, ankle swelling, leg swelling","obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-s10,symptoms,urinary symptoms,10,"dysuria, frequency, UTI symptoms","renal,obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-s11,symptoms,nausea and vomiting,11,"nausea, emesis, morning sickness","gi,obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-s12,symptoms,fatigue,12,"fatigue, tiredness","general,obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-r13,relevant_negatives,no vaginal bleeding reported,13,"no vaginal bleeding, no spotting","obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-r14,relevant_negatives,no abdominal pain reported,14,"no abdominal pain","obstetric,gi"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-r15,relevant_negatives,no leaking fluid reported,15,"no leaking, no PROM","obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-r16,relevant_negatives,no reduced fetal movement reported if applicable,16,"normal fetal movement","obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-r17,relevant_negatives,no severe headache reported,17,"no severe headache","neuro,obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-r18,relevant_negatives,no visual symptoms reported,18,"no vision changes","neuro,obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-r19,relevant_negatives,no urinary symptoms reported,19,"no dysuria, no frequency","renal,obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-r20,relevant_negatives,no nausea or vomiting reported,20,"no nausea, no vomiting","gi,obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-r21,relevant_negatives,no vaginal discharge reported,21,"no discharge","obstetric"
obgyn-antenatal-followup,OB/GYN,obgyn-antenatal-followup-e22,exam_findings,vitals recorded,22,"vitals, vital signs","vitals,obstetric"
