specialty_id,section_id,section_display_name,section_order,section_description,field_id,prompt,field_type,placeholder,options,required
General Medicine / GP,hpi,History of Presenting Complaint,1,core|free_text,chief_complaint,Chief complaint,,"e.g. chest pain, fever, cough",,TRUE
General Medicine / GP,hpi,History of Presenting Complaint,1,core|free_text,duration,Duration,,"e.g. 3 days, 2 weeks",,TRUE
General Medicine / GP,hpi,History of Presenting Complaint,1,core|free_text,onset,Onset,select,,Acute|Gradual|Intermittent|Constant,FALSE
General Medicine / GP,hpi,History of Presenting Complaint,1,core|free_text,severity,Severity,number,,1-10,FALSE
General Medicine / GP,hpi,History of Presenting Complaint,1,core|free_text,context,Context,,"e.g. after meals, during exercise",,FALSE
General Medicine / GP,social,Social History,2,core|structured_section,smoking,Smoking,,e.g. 10 pack years,,FALSE
General Medicine / GP,social,Social History,2,core|structured_section,alcohol,Alcohol,,"e.g. Social, none",,FALSE
General Medicine / GP,social,Social History,2,core|structured_section,occupation,Occupation,,"e.g. Teacher, retired",,FALSE
General Medicine / GP,ros,Review of Systems,3,optional|checklist,constitutional,Constitutional,,"e.g. Fever, weight loss",,FALSE
General Medicine / GP,ros,Review of Systems,3,optional|checklist,cv,Cardiovascular,,"e.g. Chest pain, SOB",,FALSE
General Medicine / GP,ros,Review of Systems,3,optional|checklist,resp,Respiratory,,"e.g. Cough, wheeze",,FALSE
General Medicine / GP,ros,Review of Systems,3,optional|checklist,gi,GI,,"e.g. Nausea, diarrhea",,FALSE
General Medicine / GP,ros,Review of Systems,3,optional|checklist,gu,GU,,e.g. Dysuria,,FALSE
General Medicine / GP,ros,Review of Systems,3,optional|checklist,msk,MSK,,e.g. Joint pain,,FALSE
General Medicine / GP,ros,Review of Systems,3,optional|checklist,neuro,Neuro,,"e.g. Headache, dizziness",,FALSE
General Medicine / GP,past_medical,Past Medical History,4,core|structured_section,chronic_dz,Chronic diseases,textarea,"e.g. HTN, DM",,FALSE
General Medicine / GP,past_medical,Past Medical History,4,core|structured_section,surgery,Past surgeries,,e.g. Appendectomy 2019,,FALSE
General Medicine / GP,past_medical,Past Medical History,4,core|structured_section,medications,Current medications,textarea,e.g. Metformin 500mg,,FALSE
General Medicine / GP,past_medical,Past Medical History,4,core|structured_section,allergies,Allergies,,"e.g. None, penicillin",,FALSE
General Medicine / GP,family_history,Family History,5,core|structured_section,family_dz,Family diseases,textarea,e.g. DM father,,FALSE
General Medicine / GP,vitals_exam,Vitals/Exam,6,core|examination,vitals,Vital signs,,"e.g. BP 130/80, HR 76",,FALSE
General Medicine / GP,vitals_exam,Vitals/Exam,6,core|examination,general,General appearance,,"e.g. Alert, no distress",,FALSE
General Medicine / GP,vitals_exam,Vitals/Exam,6,core|examination,system_exam,System exam,textarea,"e.g. Chest clear, heart sounds normal",,FALSE
General Medicine / GP,investigations,Investigations,7,optional|investigation,ordered,Tests ordered,,"e.g. CBC, CXR",,FALSE
General Medicine / GP,investigations,Investigations,7,optional|investigation,reviewed,Tests reviewed,,e.g. ECG normal,,FALSE
General Medicine / GP,red_flags,Red Flags,8,safety|safety_prompt,red_flags,Red flags,textarea,"e.g. Chest pain with sweating, no red flags",,FALSE
General Medicine / GP,impression,Impression,9,core|clinician_entered,impression,Impression,,e.g. Viral URTI,,TRUE
General Medicine / GP,plan,Plan,10,core|clinician_entered,plan,Plan,textarea,e.g. Symptomatic treatment,,TRUE
General Medicine / GP,follow_up,Follow-up,11,core|plan,follow_up,Follow-up plan,,e.g. 1 week,,FALSE
Pediatrics,hpi,History of Presenting Complaint,1,core|free_text,chief_complaint,Chief complaint,,"e.g. fever, cough, rash",,TRUE
Pediatrics,hpi,History of Presenting Complaint,1,core|free_text,duration,Duration,,e.g. 2 days,,TRUE
Pediatrics,hpi,History of Presenting Complaint,1,core|free_text,associated_symptoms,Associated symptoms,,"e.g. vomiting, diarrhea",,FALSE
Pediatrics,hpi,History of Presenting Complaint,1,core|free_text,onset,Onset,select,,Acute|Gradual|Intermittent,FALSE
Pediatrics,birth_history,Birth History,2,conditional|structured_section,gestation,Gestation at birth,,"e.g. Full term, preterm 34wk",,FALSE
Pediatrics,birth_history,Birth History,2,conditional|structured_section,delivery_mode,Mode of delivery,select,,Normal|C-section|Vacuum|Forceps|Unknown,FALSE
Pediatrics,birth_history,Birth History,2,conditional|structured_section,birth_weight,Birth weight,,e.g. 3.2 kg,,FALSE
Pediatrics,birth_history,Birth History,2,conditional|structured_section,nicu_course,NICU/neonatal course,,"e.g. No NICU, jaundice phototherapy",,FALSE
Pediatrics,feeding,Feeding History,3,conditional|structured_section,feeding_type,Feeding type,select,,Breastfeeding|Formula|Mixed|Solid|Combination,FALSE
Pediatrics,feeding,Feeding History,3,conditional|structured_section,feeding_concerns,Feeding concerns,,"e.g. Poor appetite, vomiting after feeds",,FALSE
Pediatrics,immunization,Immunization Status,4,core|checklist,up_to_date,Immunizations up to date?,select,,Yes|No|Unknown,FALSE
Pediatrics,immunization,Immunization Status,4,core|checklist,vaccines_missed,Vaccines missed/delayed,,e.g. MMR delayed,,FALSE
Pediatrics,development,Developmental Milestones,5,conditional|structured_section,milestones,Milestones achieved,textarea,e.g. Walking at 12mo,,FALSE
Pediatrics,development,Developmental Milestones,5,conditional|structured_section,dev_concerns,Developmental concerns,,e.g. Not yet walking at 15mo,,FALSE
Pediatrics,growth,Growth Parameters,6,core|structured_section,height_weight_ofc,Height/Weight/OFC,,e.g. Wt 10kg (25th),,FALSE
Pediatrics,growth,Growth Parameters,6,core|structured_section,growth_concerns,Growth concerns,,e.g. Weight dropping centiles,,FALSE
Pediatrics,past_medical,Past Pediatric History,7,core|structured_section,chronic_peds,Chronic conditions,textarea,"e.g. Asthma, congenital heart dz",,FALSE
Pediatrics,past_medical,Past Pediatric History,7,core|structured_section,hospitalizations,Past hospitalizations,,"e.g. NICU, bronchiolitis admission",,FALSE
Pediatrics,past_medical,Past Pediatric History,7,core|structured_section,medications,Current medications,textarea,e.g. Salbutamol PRN,,FALSE
Pediatrics,past_medical,Past Pediatric History,7,core|structured_section,allergies,Allergies,,"e.g. None, penicillin rash",,FALSE
Pediatrics,family_history,Family History,8,optional|structured_section,family_conditions,Family conditions,textarea,"e.g. Asthma, eczema in parents",,FALSE
Pediatrics,social_environment,Social/Environmental,9,optional|structured_section,smoke_exposure,Secondhand smoke?,select,,Yes|No|Unknown,FALSE
Pediatrics,social_environment,Social/Environmental,9,optional|structured_section,school,School/daycare,,e.g. Attends preschool,,FALSE
Pediatrics,parental_concerns,Parental Concerns,10,core|free_text,main_concern,Main concern,textarea,e.g. Fever not coming down,,FALSE
Pediatrics,hydration_assessment,Hydration/Output,11,conditional|checklist,urine_output,Urine output,select,,Normal|Decreased|Not assessed,FALSE
Pediatrics,hydration_assessment,Hydration/Output,11,conditional|checklist,tears,Tears,select,,Normal|Reduced|Absent|Not assessed,FALSE
Pediatrics,hydration_assessment,Hydration/Output,11,conditional|checklist,mucous_membranes,Mucous membranes,select,,Moist|Dry|Very dry,FALSE
Pediatrics,examination,Pediatric Examination,12,core|examination,general,General appearance,,"e.g. Alert, well hydrated",,FALSE
Pediatrics,examination,Pediatric Examination,12,core|examination,vitals,Vital signs,,"e.g. HR 110, RR 28, Temp 38.2",,FALSE
Pediatrics,examination,Pediatric Examination,12,core|examination,system_exam,System exam,textarea,"e.g. Chest clear, ears normal",,FALSE
Pediatrics,red_flags,Pediatric Red Flags,13,safety|safety_prompt,red_flags,Red flags,textarea,"e.g. Respiratory distress, fever <3mo, no red flags",,FALSE
Pediatrics,impression,Doctor Impression,14,core|clinician_entered,impression,Impression/Diagnosis,,"e.g. Viral fever, self-limiting",,TRUE
Pediatrics,plan,Doctor Plan,15,core|clinician_entered,plan,Plan,textarea,"e.g. Symptomatic treatment, return precautions",,TRUE
