workflow_id,specialty_id,chief_complaint,diagnosis,history_layout_id,icd_system,icd_code,icd_label,icd_verified,icd_source,chip_groups,min_sections,age_min_months,age_max_years,sex
gp-fever-urti,General Medicine / GP,Fever,Viral URTI,General Medicine / GP,ICD-10-CM,J00,Acute nasopharyngitis,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up",hpi,3,,
gp-cough,General Medicine / GP,Cough,Acute bronchitis,General Medicine / GP,ICD-10-CM,J20.9,Acute bronchitis,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up",hpi,,,
gp-sore-throat,General Medicine / GP,Sore throat,Pharyngitis,General Medicine / GP,ICD-10-CM,J02.9,Acute pharyngitis,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up",hpi,,,
gp-headache,General Medicine / GP,Headache,Migraine/Tension headache,General Medicine / GP,ICD-10-CM,G43.9,Migraine,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up",hpi,,,
gp-dizziness,General Medicine / GP,Dizziness,Vestibular/referred,General Medicine / GP,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up",hpi,,,
gp-fatigue,General Medicine / GP,Fatigue,Anaemia workup,General Medicine / GP,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up",hpi,,,
gp-abdominal-pain,General Medicine / GP,Abdominal pain,Gastritis,General Medicine / GP,ICD-10-CM,K29.7,Gastritis,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,investigations,plan_phrases,follow_up",hpi,,,
gp-nausea,General Medicine / GP,Nausea/Vomiting,Gastroenteritis,General Medicine / GP,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up",hpi,,,
gp-diarrhea,General Medicine / GP,Diarrhea,Acute gastroenteritis,General Medicine / GP,ICD-10-CM,A09,Infectious gastroenteritis,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up",hpi,,,
gp-constipation,General Medicine / GP,Constipation,IBS / functional,General Medicine / GP,,,,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up",hpi,,,
gp-chest-pain,General Medicine / GP,Chest pain,GERD / reflux,General Medicine / GP,ICD-10-CM,K21.9,GERD,FALSE,,"symptoms,relevant_negatives,exam_findings,red_flags,plan_phrases,follow_up",hpi,,,
