workflow_id,specialty_id,chip_id,group,chip_text,order,search_terms,tags
gp-fever-urti,General Medicine / GP,gp-fever-urti-s1,symptoms,fever,1,"fever, pyrexia",acute
gp-fever-urti,General Medicine / GP,gp-fever-urti-s2,symptoms,cough,2,"cough, dry cough",acute
gp-fever-urti,General Medicine / GP,gp-fever-urti-s3,symptoms,sore throat,3,"sore throat, throat pain",acute
gp-fever-urti,General Medicine / GP,gp-fever-urti-s4,symptoms,runny nose,4,"runny nose, rhinorrhea",acute
gp-fever-urti,General Medicine / GP,gp-fever-urti-s5,symptoms,nasal congestion,5,"nasal congestion, blocked nose",acute
gp-fever-urti,General Medicine / GP,gp-fever-urti-s6,symptoms,body aches,6,"body aches, myalgia, muscle pain",acute
gp-fever-urti,General Medicine / GP,gp-fever-urti-s7,symptoms,chills,7,"chills, rigors",acute
gp-fever-urti,General Medicine / GP,gp-fever-urti-s8,symptoms,headache,8,headache,acute
gp-fever-urti,General Medicine / GP,gp-fever-urti-s9,symptoms,fatigue,9,"fatigue, malaise",acute
gp-fever-urti,General Medicine / GP,gp-fever-urti-s10,symptoms,decreased appetite,10,decreased appetite,acute
gp-fever-urti,General Medicine / GP,gp-fever-urti-s11,symptoms,sneezing,11,"sneezing, sneezing fits",acute
gp-fever-urti,General Medicine / GP,gp-fever-urti-n12,relevant_negatives,no shortness of breath,12,"no SOB, no dyspnea",respiratory
gp-fever-urti,General Medicine / GP,gp-fever-urti-n13,relevant_negatives,no chest pain,13,"no CP, no chest pain",cardiac
gp-fever-urti,General Medicine / GP,gp-fever-urti-n14,relevant_negatives,no neck stiffness,14,no neck stiffness,neuro
gp-fever-urti,General Medicine / GP,gp-fever-urti-n15,relevant_negatives,no persistent vomiting,15,no vomiting,gi
gp-fever-urti,General Medicine / GP,gp-fever-urti-n16,relevant_negatives,no confusion,16,no confusion,neuro
gp-fever-urti,General Medicine / GP,gp-fever-urti-n17,relevant_negatives,no rash,17,"no rash, no skin rash",dermatology
gp-fever-urti,General Medicine / GP,gp-fever-urti-n18,relevant_negatives,no ear pain,18,no ear pain,ent
gp-fever-urti,General Medicine / GP,gp-fever-urti-n19,relevant_negatives,no urinary symptoms,19,no dysuria,renal
gp-fever-urti,General Medicine / GP,gp-fever-urti-e20,exam_findings,afebrile,20,afebrile,vitals
gp-fever-urti,General Medicine / GP,gp-fever-urti-e21,exam_findings,febrile,21,"febrile, temp elevated",vitals
gp-fever-urti,General Medicine / GP,gp-fever-urti-e22,exam_findings,throat congested,22,pharyngeal erythema,ent
gp-fever-urti,General Medicine / GP,gp-fever-urti-e23,exam_findings,tonsils normal,23,tonsils normal,ent
gp-fever-urti,General Medicine / GP,gp-fever-urti-e24,exam_findings,tonsillar exudate,24,tonsillar exudate,ent
gp-fever-urti,General Medicine / GP,gp-fever-urti-e25,exam_findings,cervical lymphadenopathy,25,"cervical LNs, tender nodes",ent
gp-fever-urti,General Medicine / GP,gp-fever-urti-e26,exam_findings,chest clear on auscultation,26,"chest clear, lungs clear",respiratory
gp-fever-urti,General Medicine / GP,gp-fever-urti-e27,exam_findings,wheezes,27,"wheezes, expiratory wheeze",respiratory
gp-fever-urti,General Medicine / GP,gp-fever-urti-e28,exam_findings,no respiratory distress,28,no RD,respiratory
gp-fever-urti,General Medicine / GP,gp-fever-urti-e29,exam_findings,hydration adequate,29,"good hydration, moist mm",general
gp-fever-urti,General Medicine / GP,gp-fever-urti-e30,exam_findings,decreased skin turgor,30,"dry, dehydration",general
gp-fever-urti,General Medicine / GP,gp-fever-urti-r31,red_flags,breathing difficulty,31,"dyspnea, distress","respiratory,high_safety"
gp-fever-urti,General Medicine / GP,gp-fever-urti-r32,red_flags,persistent high fever,32,high fever >3 days,"acute,high_safety"
gp-fever-urti,General Medicine / GP,gp-fever-urti-r33,red_flags,confusion,33,"confusion, drowsy","neuro,high_safety"
gp-fever-urti,General Medicine / GP,gp-fever-urti-r34,red_flags,neck stiffness,34,"neck stiffness, meningism","neuro,high_safety"
gp-fever-urti,General Medicine / GP,gp-fever-urti-r35,red_flags,dehydration,35,dehydration signs,"general,high_safety"
gp-fever-urti,General Medicine / GP,gp-fever-urti-r36,red_flags,immunocompromised state,36,immunocompromised,"chronic,high_safety"
gp-fever-urti,General Medicine / GP,gp-fever-urti-r37,red_flags,petechial rash,37,"petechiae, non-blanching","dermatology,high_safety"
gp-fever-urti,General Medicine / GP,gp-fever-urti-p38,plan_phrases,supportive care discussed,38,"supportive care, symptomatic",plan
gp-fever-urti,General Medicine / GP,gp-fever-urti-p39,plan_phrases,hydration advised,39,"fluids, stay hydrated",plan
gp-fever-urti,General Medicine / GP,gp-fever-urti-p40,plan_phrases,rest advised,40,"rest, take it easy",plan
gp-fever-urti,General Medicine / GP,gp-fever-urti-p41,plan_phrases,antipyretic use as per clinician plan,41,"antipyretic, fever med",plan
gp-fever-urti,General Medicine / GP,gp-fever-urti-p42,plan_phrases,return precautions discussed,42,"return precautions, warning signs",plan
gp-fever-urti,General Medicine / GP,gp-fever-urti-p43,plan_phrases,sick leave advised,43,sick leave,plan
gp-fever-urti,General Medicine / GP,gp-fever-urti-f44,follow_up,3 days if not improving,44,"3 days, 72h",followup
gp-fever-urti,General Medicine / GP,gp-fever-urti-f45,follow_up,sooner if worsening,45,sooner,followup
gp-cough,General Medicine / GP,gp-cough-s1,symptoms,cough,1,cough,acute
gp-cough,General Medicine / GP,gp-cough-s2,symptoms,dry cough,2,"dry cough, non-productive",acute
gp-cough,General Medicine / GP,gp-cough-s3,symptoms,productive cough,3,"productive cough, sputum",acute
gp-cough,General Medicine / GP,gp-cough-s4,symptoms,sputum color noted,4,"sputum color, green, yellow",acute
gp-cough,General Medicine / GP,gp-cough-s5,symptoms,cough duration,5,how long cough,acute
gp-cough,General Medicine / GP,gp-cough-s6,symptoms,fever,6,fever,acute
gp-cough,General Medicine / GP,gp-cough-s7,symptoms,shortness of breath,7,"SOB, dyspnea",respiratory
gp-cough,General Medicine / GP,gp-cough-s8,symptoms,wheeze,8,wheeze,respiratory
gp-cough,General Medicine / GP,gp-cough-s9,symptoms,chest pain,9,"chest pain, pleuritic",respiratory
gp-cough,General Medicine / GP,gp-cough-s10,symptoms,postnasal drip,10,postnasal drip,ent
gp-cough,General Medicine / GP,gp-cough-n11,relevant_negatives,no hemoptysis,11,no blood in sputum,respiratory
gp-cough,General Medicine / GP,gp-cough-n12,relevant_negatives,no fever,12,no fever,acute
gp-cough,General Medicine / GP,gp-cough-n13,relevant_negatives,no SOB,13,no SOB,respiratory
gp-cough,General Medicine / GP,gp-cough-n14,relevant_negatives,no chest pain,14,no CP,cardiac
gp-cough,General Medicine / GP,gp-cough-n15,relevant_negatives,no night sweats,15,no night sweats,general
gp-cough,General Medicine / GP,gp-cough-n16,relevant_negatives,no weight loss,16,no weight loss,general
gp-cough,General Medicine / GP,gp-cough-n17,relevant_negatives,no hoarseness,17,no voice change,ent
gp-cough,General Medicine / GP,gp-cough-e18,exam_findings,chest clear,18,"chest clear, lungs clear",respiratory
gp-cough,General Medicine / GP,gp-cough-e19,exam_findings,wheezes,19,wheezes,respiratory
gp-cough,General Medicine / GP,gp-cough-e20,exam_findings,rhonchi,20,"rhonchi, coarse breath sounds",respiratory
gp-cough,General Medicine / GP,gp-cough-e21,exam_findings,crackles,21,"crackles, crepitations",respiratory
gp-cough,General Medicine / GP,gp-cough-e22,exam_findings,prolonged expiration,22,prolonged expiration,respiratory
gp-cough,General Medicine / GP,gp-cough-e23,exam_findings,no respiratory distress,23,no RD,respiratory
gp-cough,General Medicine / GP,gp-cough-e24,exam_findings,afebrile,24,afebrile,vitals
gp-cough,General Medicine / GP,gp-cough-e25,exam_findings,febrile,25,febrile,vitals
gp-cough,General Medicine / GP,gp-cough-e26,exam_findings,oropharynx clear,26,oropharynx clear,ent
gp-cough,General Medicine / GP,gp-cough-r27,red_flags,hemoptysis,27,coughing blood,"respiratory,high_safety"
gp-cough,General Medicine / GP,gp-cough-r28,red_flags,significant dyspnea,28,moderate to severe SOB,"respiratory,high_safety"
gp-cough,General Medicine / GP,gp-cough-r29,red_flags,persistent fever >3 days,29,persistent fever,"acute,high_safety"
gp-cough,General Medicine / GP,gp-cough-r30,red_flags,immunocompromised,30,immunocompromised,"chronic,high_safety"
gp-cough,General Medicine / GP,gp-cough-r31,red_flags,significant weight loss,31,unexplained weight loss,"general,high_safety"
gp-cough,General Medicine / GP,gp-cough-r32,red_flags,recurrent pneumonia,32,recurrent chest infection,"respiratory,high_safety"
gp-cough,General Medicine / GP,gp-cough-p33,plan_phrases,supportive care discussed,33,supportive care,plan
gp-cough,General Medicine / GP,gp-cough-p34,plan_phrases,cough suppressant per clinician plan,34,cough suppressant,plan
gp-cough,General Medicine / GP,gp-cough-p35,plan_phrases,hydration advised,35,"hydrate, fluids",plan
gp-cough,General Medicine / GP,gp-cough-p36,plan_phrases,return precautions discussed,36,return precautions,plan
gp-cough,General Medicine / GP,gp-cough-p37,plan_phrases,smoking cessation advised,37,stop smoking,plan
gp-cough,General Medicine / GP,gp-cough-f38,follow_up,1-2 weeks if not improving,38,1-2 weeks,followup
gp-cough,General Medicine / GP,gp-cough-f39,follow_up,sooner if worsening,39,sooner,followup
gp-sore-throat,General Medicine / GP,gp-sore-throat-s1,symptoms,sore throat,1,"sore throat, throat pain",acute
gp-sore-throat,General Medicine / GP,gp-sore-throat-s2,symptoms,painful swallowing,2,odynophagia,acute
gp-sore-throat,General Medicine / GP,gp-sore-throat-s3,symptoms,fever,3,fever,acute
gp-sore-throat,General Medicine / GP,gp-sore-throat-s4,symptoms,cough,4,cough,acute
gp-sore-throat,General Medicine / GP,gp-sore-throat-s5,symptoms,runny nose,5,runny nose,acute
gp-sore-throat,General Medicine / GP,gp-sore-throat-s6,symptoms,headache,6,headache,acute
gp-sore-throat,General Medicine / GP,gp-sore-throat-s7,symptoms,body aches,7,myalgia,acute
gp-sore-throat,General Medicine / GP,gp-sore-throat-s8,symptoms,swollen glands,8,"swollen glands, neck lumps",ent
gp-sore-throat,General Medicine / GP,gp-sore-throat-s9,symptoms,voice change,9,"hoarseness, muffled",ent
gp-sore-throat,General Medicine / GP,gp-sore-throat-n10,relevant_negatives,no drooling,10,no drooling,ent
gp-sore-throat,General Medicine / GP,gp-sore-throat-n11,relevant_negatives,no breathing difficulty,11,no stridor,respiratory
gp-sore-throat,General Medicine / GP,gp-sore-throat-n12,relevant_negatives,no neck swelling,12,no neck mass,ent
gp-sore-throat,General Medicine / GP,gp-sore-throat-n13,relevant_negatives,no rash,13,no rash,dermatology
gp-sore-throat,General Medicine / GP,gp-sore-throat-n14,relevant_negatives,no cough,14,no cough,respiratory
gp-sore-throat,General Medicine / GP,gp-sore-throat-n15,relevant_negatives,no ear pain,15,no ear pain,ent
gp-sore-throat,General Medicine / GP,gp-sore-throat-e16,exam_findings,oropharynx erythematous,16,pharyngeal erythema,ent
gp-sore-throat,General Medicine / GP,gp-sore-throat-e17,exam_findings,tonsillar exudate,17,"exudate, white patches",ent
gp-sore-throat,General Medicine / GP,gp-sore-throat-e18,exam_findings,tonsils enlarged,18,swollen tonsils,ent
gp-sore-throat,General Medicine / GP,gp-sore-throat-e19,exam_findings,oropharynx clear,19,normal throat,ent
gp-sore-throat,General Medicine / GP,gp-sore-throat-e20,exam_findings,tender cervical LNs,20,cervical LNs tender,ent
gp-sore-throat,General Medicine / GP,gp-sore-throat-e21,exam_findings,afebrile,21,afebrile,vitals
gp-sore-throat,General Medicine / GP,gp-sore-throat-e22,exam_findings,febrile,22,febrile,vitals
gp-sore-throat,General Medicine / GP,gp-sore-throat-e23,exam_findings,no respiratory distress,23,no RD,respiratory
