workflow_id,specialty_id,chip_id,group,chip_text,order,search_terms,tags
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-s1,symptoms,low back pain,1,"low back pain, LBP, lumbar pain","msk,pain"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-s2,symptoms,radiating leg pain,2,"radiating leg pain, sciatica, radiculopathy","msk,pain,neuro"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-s3,symptoms,stiffness,3,"stiffness, morning stiffness","msk"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-s4,symptoms,pain worse with movement,4,"pain worse with movement, movement related","msk,pain"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-s5,symptoms,pain after lifting,5,"pain after lifting, bending, heavy lifting","msk,pain"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-s6,symptoms,numbness or tingling reported,6,"numbness, tingling, paresthesia","neuro,msk"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-s7,symptoms,difficulty walking,7,"difficulty walking, gait disturbance","msk,gait"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-s8,symptoms,night pain reported,8,"night pain, pain at night","msk,pain"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-s9,symptoms,onset and duration documented,9,"onset, duration, when started","general,msk"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-s10,symptoms,previous treatment tried,10,"previous treatment, physiotherapy, medication","msk"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r11,relevant_negatives,no bowel or bladder symptoms reported,11,"no bowel, no bladder, no incontinence","neuro,high_safety"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r12,relevant_negatives,no saddle anesthesia reported,12,"no saddle anesthesia, no perineal numbness","neuro,high_safety"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r13,relevant_negatives,no fever reported,13,"no fever","acute"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r14,relevant_negatives,no trauma reported,14,"no trauma, no injury","msk"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r15,relevant_negatives,no progressive weakness reported,15,"no progressive weakness","neuro,msk"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r16,relevant_negatives,no unexplained weight loss reported,16,"no weight loss","general"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r17,relevant_negatives,no cancer history reported,17,"no cancer, no malignancy","general"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-e18,exam_findings,gait documented,18,"gait, walking","msk,gait"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-e19,exam_findings,lumbar tenderness if assessed,19,"lumbar tenderness, paraspinal tenderness","msk"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-e20,exam_findings,range of motion limited by pain if assessed,20,"ROM, limited range of motion","msk"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-e21,exam_findings,straight leg raise documented if assessed,21,"SLR, straight leg raise","msk,neuro"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-e22,exam_findings,contralateral SLR documented if assessed,22,"crossed SLR","msk,neuro"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-e23,exam_findings,lower limb power documented if assessed,23,"power, motor strength, MRC","neuro,msk"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-e24,exam_findings,lower limb sensation documented if assessed,24,"sensation, sensory, dermatomal","neuro,msk"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-e25,exam_findings,lower limb reflexes documented if assessed,25,"reflexes, patellar, ankle jerk","neuro,msk"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r26,red_flags,trauma,26,"trauma, injury","msk,high_safety"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r27,red_flags,fever,27,"fever, pyrexia","acute,high_safety"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r28,red_flags,cancer history,28,"cancer history, malignancy","general,high_safety"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r29,red_flags,unexplained weight loss,29,"weight loss","general,high_safety"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r30,red_flags,progressive neurological deficit,30,"progressive deficit, worsening weakness","neuro,high_safety"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r31,red_flags,saddle anesthesia,31,"saddle anesthesia, perineal numbness","neuro,high_safety"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r32,red_flags,bowel or bladder symptoms,32,"bowel incontinence, bladder retention","neuro,high_safety"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-r33,red_flags,severe night pain,33,"night pain, waking at night","msk,high_safety"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-p34,plan_phrases,activity modification discussed,34,"activity modification, avoiding heavy lifting","plan,msk"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-p35,plan_phrases,analgesia plan discussed as per clinician plan,35,"pain relief, analgesia","plan,msk"
msk-low-back-pain,Orthopedics / MSK,msk-low-back-pain-p36,plan_phrases,physiotherapy referral discussed as per clinician plan,36,"physiotherapy, PT, rehab","plan,msk"
