workflow_id,specialty_id,chip_id,group,chip_text,order,search_terms,tags
neuro-headache,Neurology,neuro-headache-symptoms-1,symptoms,headache,1,"headache, cephalgia",neurology
neuro-headache,Neurology,neuro-headache-symptoms-2,symptoms,duration documented,2,"duration, timing",neurology
neuro-headache,Neurology,neuro-headache-symptoms-3,symptoms,location documented,3,"location, site",neurology
neuro-headache,Neurology,neuro-headache-symptoms-4,symptoms,character documented,4,"character, quality",neurology
neuro-headache,Neurology,neuro-headache-symptoms-5,symptoms,severity documented,5,"severity, intensity",neurology
neuro-headache,Neurology,neuro-headache-symptoms-6,symptoms,nausea reviewed,6,nausea,neurology
neuro-headache,Neurology,neuro-headache-symptoms-7,symptoms,vomiting reviewed,7,vomiting,neurology
neuro-headache,Neurology,neuro-headache-symptoms-8,symptoms,photophobia reviewed,8,"photophobia, light sensitivity",neurology
neuro-headache,Neurology,neuro-headache-symptoms-9,symptoms,phonophobia reviewed,9,"phonophobia, sound sensitivity",neurology
neuro-headache,Neurology,neuro-headache-symptoms-10,symptoms,visual symptoms reviewed,10,"visual, vision, aura",neurology
neuro-headache,Neurology,neuro-headache-symptoms-11,symptoms,trigger context reviewed,11,"trigger, precipitating",neurology
neuro-headache,Neurology,neuro-headache-symptoms-12,symptoms,relieving factors reviewed,12,"relieving, medication",neurology
neuro-headache,Neurology,neuro-headache-symptoms-13,symptoms,everyday activity impact documented,13,"impact, daily, ADL",neurology
neuro-headache,Neurology,neuro-headache-relevant_negatives-1,relevant_negatives,no focal neurological symptoms reported,1,"focal, neurological",neurology
neuro-headache,Neurology,neuro-headache-relevant_negatives-2,relevant_negatives,no seizure reported,2,"seizure, fits",neurology
neuro-headache,Neurology,neuro-headache-relevant_negatives-3,relevant_negatives,no neck stiffness reported,3,"neck, stiffness",neurology
neuro-headache,Neurology,neuro-headache-relevant_negatives-4,relevant_negatives,no fever reported,4,"fever, febrile",neurology
neuro-headache,Neurology,neuro-headache-relevant_negatives-5,relevant_negatives,no head trauma reported,5,"head, trauma, injury",neurology
neuro-headache,Neurology,neuro-headache-relevant_negatives-6,relevant_negatives,no sudden thunderclap onset reported if assessed,6,"thunderclap, sudden, onset",neurology
