workflow_id,specialty_id,chip_id,group,chip_text,order,search_terms,tags
ophth-red-eye,Ophthalmology,ophth-red-eye-s1,symptoms,red eye,1,"red eye, bloodshot eye","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-s2,symptoms,unilateral redness,2,"unilateral redness, one eye red","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-s3,symptoms,bilateral redness,3,"bilateral redness, both eyes red","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-s4,symptoms,itching,4,"itching, itchy eye, pruritus","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-s5,symptoms,burning sensation,5,"burning, stinging","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-s6,symptoms,foreign body sensation,6,"foreign body sensation, grit, sand","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-s7,symptoms,watery eye,7,"watery eye, tearing, epiphora","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-s8,symptoms,eye discharge,8,"eye discharge, sticky eye","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-s9,symptoms,photophobia,9,"photophobia, light sensitivity","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-s10,symptoms,blurred vision,10,"blurred vision, blurry","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-s11,symptoms,contact lens use documented,11,"contact lens use, CL, lens wear","ophth,lens"
ophth-red-eye,Ophthalmology,ophth-red-eye-s12,symptoms,duration documented,12,"duration, how long",general
ophth-red-eye,Ophthalmology,ophth-red-eye-n13,relevant_negatives,no vision change reported,13,"no vision change, vision normal","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-n14,relevant_negatives,no severe eye pain reported,14,"no severe pain","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-n15,relevant_negatives,no photophobia reported,15,"no photophobia","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-n16,relevant_negatives,no trauma reported,16,"no trauma","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-n17,relevant_negatives,no contact lens use reported,17,"no contact lens use","ophth,lens"
ophth-red-eye,Ophthalmology,ophth-red-eye-n18,relevant_negatives,no headache or vomiting reported,18,"no headache, no vomiting",neuro
ophth-red-eye,Ophthalmology,ophth-red-eye-n19,relevant_negatives,no chemical exposure reported,19,"no chemical exposure","ophth"
ophth-red-eye,Ophthalmology,ophth-red-eye-e20,exam_findings,visual acuity documented if assessed,20,"visual acuity, VA, Snellen","ophth,exam"
ophth-red-eye,Ophthalmology,ophth-red-eye-e21,exam_findings,conjunctival injection documented if assessed,21,"conjunctival injection, redness pattern","ophth,exam"
ophth-red-eye,Ophthalmology,ophth-red-eye-e22,exam_findings,discharge documented if assessed,22,"discharge, mucus, pus, watery","ophth,exam"
ophth-red-eye,Ophthalmology,ophth-red-eye-e23,exam_findings,corneal appearance documented if assessed,23,"corneal appearance, clarity, opacity","ophth,exam"
ophth-red-eye,Ophthalmology,ophth-red-eye-e24,exam_findings,pupil findings documented if assessed,24,"pupil, shape, size, reaction","ophth,exam"
ophth-red-eye,Ophthalmology,ophth-red-eye-e25,exam_findings,eye movement documented if assessed,25,"eye movement, EOM, extraocular","ophth,exam"
ophth-red-eye,Ophthalmology,ophth-red-eye-e26,exam_findings,eyelid findings documented if assessed,26,"eyelid, swelling, crusting","ophth,exam"
ophth-red-eye,Ophthalmology,ophth-red-eye-r27,red_flags,painful red eye,27,"painful red eye","ophth,high_safety"
ophth-red-eye,Ophthalmology,ophth-red-eye-r28,red_flags,reduced vision,28,"reduced vision, vision loss","ophth,high_safety"
